Found 4 device(s):
  0:  Realtek, RTL2838UHIDIR, SN: 00000001
  1:  Realtek, RTL2838UHIDIR, SN: 00000001
  2:  Realtek, RTL2838UHIDIR, SN: 00000001
  3:  Realtek, RTL2838UHIDIR, SN: 00000001

Using device 3: Generic RTL2832U OEM
Found Rafael Micro R820T tuner
Exact sample rate is: 250000.000414 Hz
[R82XX] PLL not locked!
Sampling at 250000 S/s.
Tuned to 150050000 Hz.
Tuner gain set to 49.60 dB.
Reading samples in async mode...
Ignoring signals shorter than 0.010000 and longer than 0.030000
Will print timestamp every 1500000 transforms
2020-07-22 19:36:49.034725507
timestamp;samples;duration;signal_freq;signal_bw;max_signal;noise
2020-07-22 19:36:51.940325315;14624;0.019200  ;-31571.425781;4000.000244;77.487343;-37.002754
2020-07-22 19:36:51.959525443;14736;0.022400  ;-49732.140625;19000.000000;93.956558;-28.650063
2020-07-22 19:36:51.972325379;14752;0.012800  ;-31999.994141;3000.000000;77.852531;-37.002754
2020-07-22 19:36:51.985125379;14816;0.012800  ;-49153.843750;4000.000244;88.638077;-28.650063
2020-07-22 19:36:52.004325443;14928;0.016000  ;-31833.332031;5000.000000;78.922325;-35.407112
2020-07-22 19:36:52.007525507;14944;0.016000  ;-50000.000000;20000.000000;94.756470;-28.650063
2020-07-22 19:36:52.036325534;15072;0.012800  ;-32499.994141;7000.000000;81.540474;-35.407112
2020-07-22 19:36:52.068325359;15264;0.019200  ;-32117.638672;6000.000000;80.211456;-35.407112
2020-07-22 19:36:52.100325427;15424;0.019200  ;-49786.878906;19000.000000;93.612350;-28.650063
2020-07-22 19:36:52.164325315;15712;0.012800  ;-49423.722656;20000.000000;90.617668;-28.650063
2020-07-22 19:36:52.196325379;15872;0.012800  ;-31749.998047;5000.000000;79.406326;-37.002754
2020-07-22 19:36:52.196325379;15904;0.019200  ;-49176.464844;20000.000000;94.652832;-28.650063
2020-07-22 19:36:52.225125395;16016;0.012800  ;-31363.632812;4000.000244;78.017059;-37.002754
2020-07-22 19:36:52.225125395;16032;0.012800  ;-48819.996094;20000.000000;93.583603;-28.650063
2020-07-22 19:36:52.250725347;16176;0.019200  ;-48775.507812;21000.000000;93.588684;-28.650063
2020-07-22 19:36:52.273125491;16256;0.012800  ;-49153.843750;4000.000244;88.737198;-28.650063
2020-07-22 19:36:52.298725443;16384;0.012800  ;-12111.105469;7000.000000;102.267563;-34.920551
2020-07-22 19:36:52.298725443;16384;0.012800  ;36636.371094;4000.000244;83.668030;-34.739975
2020-07-22 19:36:52.317925539;16480;0.012800  ;-31999.998047;5000.000000;80.214417;-37.002754
2020-07-22 19:36:52.321125347;16496;0.012800  ;-47720.921875;15000.000000;95.293350;-28.650063
2020-07-22 19:36:52.349925347;16640;0.012800  ;-32416.660156;5000.000000;81.968689;-35.407112
